1,1,dog,pies
2,1,run,biegnąć
3,1,in,w
4,1,door,drzwi
5,1,car,samochód
6,1,like,lubić
7,1,give,dawać
8,1,music,muzyka
9,1,tree,drzewo
10,1,day,dzień
11,2,eaten ,zjedzony
12,2,employer,pracodawca
13,2,mistake,błąd
14,2,forget,zapomnieć
15,2,slowly,powoli
16,2,outside,na zewnątrz
17,2,once,raz
18,2,polite,uprzejmy
19,2,heaven,niebo
20,2,middle,środkowy
21,3,apology,przeprosiny
22,3,compare,porównywać
23,3,financial,budżetowy
24,3,wisdom,mądrość
25,3,wool,wełna
26,3,worry,martwić się
27,3,pity,szkoda
28,3,somehow,jakoś
29,3,quality,jakość
30,3,thirst,pragnienie
31,4,broadcast,nadawać
32,4,benefit,zysk
33,4,unconscious,nieprzytomny
34,4,conquer,podbić
35,4,retirement,przejście na emeryturę
36,4,individual,indywidualny
37,4,gorgeous,wspaniały
38,4,management,zarząd
39,4,precede,poprzedzać
40,4,unreasonable,nierozsądne
41,5,scarecely,ledwie
42,5,undertake,podjąć
43,5,willingness,chęci
44,5,beforehand,uprzednio
45,5,ghastly,upiornie
46,5,penetrative,przenikliwy
47,5,swerve,zboczenie
48,5,distinguish,rozróżniać
49,5,attachment,przywiązanie
50,5,valid,ważny